ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
UFlippen,0,1,0.0,0,2,"Give Me something that I can work with World!",1342715583,1452904688
Uffie,0,2,0.0,0,1,,1349745987,1452906575
Uffizi,,14,0.0,5,5,,1364326663,1450628064
Ufoinc,0,1,0.0,1,0,,1341321554,1452904154
uFb3prduWpbzCr,0,1,0.0,0,1,,1378838804,1452916298
uf,0,8,0.0,0,0,,1431889666,1453169226
uf_cise_alumnus,0,5,0.0,0,4,,1334282956,1452901707
ufazal,0,1,0.0,0,0,,1441400731,1453172112
ufcheriez,0,1,0.0,1,0,,1338632140,1452903333
ufdhigdfh,,25,0.0,0,1,,1385999337,1450207814
uffel,0,3,0.0,0,1,,1347455846,1452906002
ufffa,0,2,0.0,0,1,,1374400623,1452914922
ufficient,,1,0.0,2,3,,1415494577,1450207814
uffo,0,2,0.0,0,0,"Vasil Enchev - CEO,Product Designer @codemotionapps",1420701779,1453165069
ufianjaan,0,1,0.0,1,0,,1324963717,1452899157
ufkbz,0,1,0.0,0,1,,1191439098,1191439098
ufmace,,1482,2.59091,4,747,"email: masongup@gm@il.com",1362092350,1452808619
ufo,,1712,2.86364,0,933,,1321278348,1452814540
ufoinc2013,0,1,0.0,1,0,,1370032269,1452913146
ufomuffin,0,-8,0.0,0,23,,1269849039,1452889212
ufoolme,,4,0.0,0,4,"I am he \nAs you are me \nAnd we are all together!",1394208686,1450267840
uforgot,0,-7,0.0,0,2,,1368027391,1452912241
uforio,0,1,0.0,0,0,,1453125854,1453282983
ufseagull,0,22,0.0,0,11,,1382839807,1452917685
uftee,0,2,0.0,6,0,,1321293285,1452898413
ufuk,,16,0.0,4,11,"[ my public key: https://keybase.io/ufuk; my proof: https://keybase.io/ufuk/sigs/mVZNfziXZYT8kZNF9Uq_fOYFJas_kS-mN4WONe2IBsg ]",1307550020,1451943521
ufukbay,,15,0.0,0,17,,1356349403,1452884780
ufwhrp165,0,1,0.0,1,0,,1312879853,1452895978
ufxmarkets,0,1,0.0,1,0,,1379055562,1452916378
ufydtdtdtfu,0,-2,0.0,0,0,,1437447663,1453170898
