ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
LTC,0,-1,0.0,0,1,,1307605700,
LTailor,0,2,0.0,1,1,,1436868167,1451144923
LTaoist,0,1,0.0,1,0,"A student.",1358043026,
LTheobald,0,59,0.0,2,24,,1308570840,1438176447
lt,,1138,5.40909,43,190,,1234457721,1450207814
lt4,0,1,0.0,0,1,,1382023938,1452917397
lt4205,,1,0.0,2,0,,1345250134,1450207814
lt_kije,0,3,0.0,1,4,"http://wcm.aier.us/\nhttp://twitter.com/wcmaier\nhttp://github.com/wcmaier",1296080211,1452892174
lt_taco,0,1,0.0,0,0,,1430163038,1453168510
ltabb,0,0,0.0,0,1,,1318268300,1452904424
ltackett,0,-4,0.0,0,1,"I make websites",1258744390,1452888557
ltafoya,0,1,0.0,0,0,,1400080844,1453171997
ltamake,0,399,2.0,14,199,"Why hello there. I'm a 19 year old Web developer from the UK.",1303679328,1452893476
ltamir,0,2,0.0,1,0,,1296462216,1452892402
ltanady,0,1,0.0,0,1,,1336633183,1452922069
ltapp,0,2,0.0,1,0,,1336574768,1452902858
ltaylor,0,31,0.0,5,0,,1219889494,1452886572
ltazmin,,6,0.0,2,2,,1320617153,1450207814
ltb,0,3,0.0,0,0,,1427722529,1453167621
ltbarcly,0,14,1.0,0,47,,1191220523,1191220523
ltbarcly2,0,-9,0.0,0,6,,1233201506,1452887114
ltc2inter,0,1,0.0,1,0,,1318677907,1452897671
ltcchain,0,3,0.0,1,0,,1379827751,1452916672
ltcoleman,,110,1.46512,18,82,"I champion Startup Arkansas.",1312087234,1450207814
ltcstyle,,1,0.0,0,2,,1413978806,1450207814
ltdkicks,0,1,0.0,12,0,,1318982905,1452897801
ltdsa,0,1,0.0,1,0,,1342305634,1452904585
ltearno,0,2,0.0,0,0,,1431672026,1453169153
ltemp,0,44,0.0,0,2,,1304431783,1452893560
ltfourman,0,1,0.0,4,0,,1319506795,1452897963
ltgitl,0,1,0.0,0,1,,1312717350,1452895688
lth,0,1,0.0,1,1,,1261605513,1452888684
lthornberry,,30,0.0,0,8,,1406413558,1450207814
ltiaf,0,1,0.0,0,1,,1329592374,1452900115
ltibb,0,5,0.0,0,3,,1186691393,1186691393
ltierney,0,1,0.0,0,1,,1339541090,1452903490
ltilve,0,1,0.0,0,1,,1343812745,1452904985
ltimmerman,0,34,0.0,2,2,,1232123389,1452887037
ltiong,0,1,0.0,0,1,,1353040650,1452907392
ltjohnson,0,59,0.0,0,16,,1260753467,1452888647
ltmetaluras,0,1,0.0,2,0,,1300262021,1452892952
ltmv7112,0,1,0.0,1,0,,1313574982,1452895978
ltn318,0,1,0.0,1,0,,1381500073,1452917202
ltnately,,59,0.0,2,7,"upstate NY IT professional with interests in literature, mathematics, watchmaking, technology, sailing, cooking among other things.",1287419415,1452618791
ltofbss,0,1,0.0,0,0,,1421299109,1453165265
ltolosa,0,1,0.0,1,0,,1391153303,1452920817
ltorktek,0,2,0.0,1,0,,1357145985,1452908561
ltorresv,,11,0.0,0,7,,1392914231,1450207814
ltotstohre,0,1,0.0,2,0,,1341985713,1452904424
ltozier,0,1,0.0,0,1,,1292528149,1452891888
ltp,,1,0.0,0,2,,1347316971,1450207814
ltpl4y3r,0,1,0.0,0,0,,1253111144,1452888344
ltr,0,3,0.0,0,2,,1281425439,1452889716
ltr2,,1,0.0,0,1,,1374064031,1450207814
ltrabuco,,3,0.0,1,0,,1390694631,1450207814
ltrain1203,0,2,0.0,1,2,,1314074804,1452896103
ltratt,,876,2.13333,18,24,http://tratt.net/laurie/,1201470948,1451058304
ltray,,1,0.0,0,3,"Current employee of Palantir Technologies.",1314140729,1450207814
ltrcola,0,12,0.0,0,0,,1452631919,1453175176
ltre3711,0,1,0.0,1,0,,1313463744,1452895902
ltrls,0,2,0.0,0,0,,1448368488,1453174121
ltrls42,0,1,0.0,0,0,,1423953403,1453166199
ltrump,0,9,0.0,0,0,,1440188767,1453171762
ltsampros,,3,0.0,0,2,,1292431715,1450207814
ltstajul,0,1,0.0,1,0,,1382593568,1452921495
ltta,,22,0.0,0,12,,1415654436,1450207814
lttg,0,1,0.0,0,2,"cofounder at an Austin, TX healthcare startup",1387313163,1452919480
lttlnwthrww,0,6,0.0,0,0,,1439584621,1453175017
lttlrck,,754,1.56818,0,649,,1343920036,1452295391
ltuastomban,0,1,0.0,2,0,,1320312133,1452898236
lturner21,0,1,0.0,0,0,,1434502267,1453169993
ltw,,1,0.0,0,1,,1277619744,1450207814
ltwo,0,1,0.0,0,1,"drupal fun",1274123755,1452889589
ltx,0,26,0.0,1,0,,1304362500,1452893759
lty13800,0,1,0.0,0,1,,1290056010,1452891394
