ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
SD021,0,1,0.0,1,0,,1361562920,1452921067
SD1983,,1,0.0,0,1,,1436378022,1436378037
SDADASDA,0,3,0.0,0,1,,1311280226,1452895170
SDC,0,4,0.0,0,1,,1216936572,1452886424
SDFusion,0,1,0.0,1,0,,1309271250,1452894567
SDGT,0,299,3.47727272727273,0,105,"&quot;Proper attribution of a specific quotation is an action reserved for Tories and Anti-Federalists!&quot;<p>- Benjamin Franklin",1386774671,1452919385
SDLerner,,1,0.0,1,1,,1404173864,1449280496
SDMattG,0,1,0.0,0,12,"Builder of hookfeed.com and minimalytics.com\nCo-author of howtobuildarocketship.com\nFounder of smallhq.com",1388788348,1452919851
SDRB59,,1,0.0,0,1,,1439626891,1439626964
SDVsdfsdvfadfs,0,1,0.0,0,1,,1403215855,1452925800
SDboyz,0,1,0.0,0,1,,1344574810,1452905182
SDgiles,0,2,0.0,5,0,,1344518839,1452905646
SDockerty,,1,0.0,0,1,,1423075110,1423075469
Sduic,0,1,0.0,0,1,,1323817197,1452903669
sDBZGz1DgR4,0,2,0.0,0,0,,1429483898,1453168308
sd,0,55,0.0,1,24,"I'm a young (n00b as some might say) start-up founder based in Seattle.",1215555757,1452886327
sd123,0,1,0.0,0,1,,1338209793,1452903240
sd273,0,-2,0.0,1,2,,1276804622,1452889344
sd2w1c1c,0,1,0.0,1,0,,1335528654,1452903018
sd3t9h4v,0,1,0.0,4,0,,1332656695,1452901145
sd65,0,1,0.0,0,0,,1450171845,1453174562
sd8f9iu,,113,0.0,0,40,,1386832353,1450207814
sd_,0,12,0.0,0,3,,1368534073,1452912375
sda23,0,1,0.0,1,0,,1382073029,1452917470
sdaaur87,0,1,0.0,1,0,,1343308632,1452904884
sdab,,117,0.0,0,25,,1401734262,1450207814
sdabby,0,1,0.0,0,0,"I manage recruitment at ClickTime. Professional violinist/violist.",1332459903,1453169584
sdabdoub,,73,0.0,10,4,@ShareefDabdoub,1405442219,1452732026
sdafasd,0,1,0.0,1,4,,1315111870,1452896391
sdafdasdfasdf,0,22,0.0,0,13,,1354816211,1452907820
sdaflje5saf,0,2,0.0,0,0,,1425482411,1453166822
sdafsda,0,-9,0.0,0,1,,1321471970,1452898448
sdafsdasda,0,1,0.0,1,7,,1320941728,1452898339
sdafsdfafasdfsd,0,2,0.0,0,0,,1438706711,1453171305
sdafssd,0,-8,0.0,0,4,,1319725492,1452898063
sdague,,9,0.0,0,4,,1307014462,1450207814
sdaityari,,288,2.42857,98,20,,1382286942,1450207814
sdalezman,,1,0.0,2,2,"Full Stack Enginner @ themuse<p>www.shon-elysees.com/",1364854046,1450207814
