ID,Karma,About,Created,Updated
S-Ye,2,,1295688406,1452892125
S-nickname,3,,1437845020,1438034974
s-afra,1,,1436245802,1453170552
s-ben,4,,1335391241,1452902431
s-ch,1,,1426254743,1453167158
s-macke,185,"OpenRISC Emulator running Linux: \nhttp://s-macke.github.com/jor1k/<p>My Github site:\nhttps://github.com/s-macke<p>My personal site:\nwww.simulationcorner.net",1379432187,1450207814
s-monah,1,,1326188766,1452899438
s-p,1,,1388782454,1452919851
s-p-n,1,,1334008178,1450207814
s-phi-nl,798,"http://news.ycombinator.com/user?id=s-phi-nl<p><pre><code>  Saved comments: </code></pre>\n753531 768326 767460 857854 399954 1025200 1004772 1068231 765271 1187663 706257 1237811 1272009 1221904 2149101 1515659 2526698 1147337 1463592 840331 2105985 3484369 3713030 2567524 1324137 5353315 4340312 5693841 5551982 6702641 4526338 5991543 5355565 8438556 9010606 10487704<p>http://hackernewsers.com/users/s-phi-nl.html",1244211702,1450298560
s-stude,2,,1360276907,1450207814
s-topper,24,,1383660945,1452918056
s-v,6,,1349810240,1452908182
s-words,2,,1363704024,1452910955
