ID,Karma,About,Created,Updated
HRoark,32,"Engineer who's interested in entrepreneurship and value investing",1308187102,
HRow,1,"I'm a web designer, and i love web surfing.",1305911519,
Hrodban,12,"Hippy Software Developer",1385925321,
Hrothgar15,33,,1306010729,1415401820
Hrry,1,,1344624329,
Hrundi,518,,1300735569,1412909514
Hrvoje,3,,1326701799,
hRedBeard,2,,1320485757,1452898269
hr,-15,,1308228234,1452894329
hr6134,2,,1407610546,1450207814
hrabago,745,"Previously used the HN id &quot;undetected&quot;, until I couldn&#x27;t remember my password.",1232550588,1451681551
hraberg,31,,1273715943,1450207814
hrachyamanukyan,2,"Co-Founder at Truthly",1361388762,1450267840
hraedon,29,,1385524253,1450207814
hraisz,2,,1296586454,1452892217
hramos_3,1,,1404969742,1452926952
hranna,1,"I work for Safemind which is an IT-recruitment company. We work with customers and candidates within the technical and the IT sector, and recruit people for the whole spectra of positions, including developers as well as executives. We have a lot of interesting jobs avaliable, in both Sthockholm and Gothenburg (Sweden), so don't hesitate to contact me if you have any questions!<p>Best regards/ Anna",1326881821,1452899533
hrasda,3,,1373811092,1452914737
hrasm,22,,1302928265,1452893372
hrasyid,83,,1377070617,1450207814
hravnx,22,,1386437622,1450207814
hraymond,2,"Co-founder of Swig for iPhone, a fun way to discover new beers, wines and spirits.",1357086594,1450207814
hrayr,461,"artunyan.com<p>focalpool.com<p>[ my public key: https://keybase.io/hrayr; my proof: https://keybase.io/hrayr/sigs/d8SOCUPc3u_VO0QpVO8F1Xdxs0UQspCfemeL6DM5r4E ]",1301957061,1451875533
hrb1979,286,,1384282557,1452869197
hrbrmstr,87,"[ my public key: https://keybase.io/hrbrmstr; my proof: https://keybase.io/hrbrmstr/sigs/B4ep-4X35yfgJTMR8QrOZi275cFEnB4u30BaHBFsSjU ]",1275648241,1451153216
hrbrtglm,34,,1339337790,1450207814
hrbuni,1,,1350886445,1452906900
hrc2,10,,1413682831,1450207814
hrcross,1,,1436251045,1453170552
hrdinsky,22,"Formerly @cloudkick (YC W09) now @rackspace building @geekdomSF - geekdom.com/san-francisco<p>San Francisco<p>World Travels, offline.",1354219621,1450207814
href,5,,1400669415,1453165618
hreffob,6,,1356794215,1452908501
hreffobo,2,,1357653855,1452908645
hrefl,0,"CEO http://team.2for1.pro\n2for1, Inc. is developing a Mobile Application SPYCOB to help fashionistas to shop intelligently - we provide them with a catalog aggregating best deals (discount more than 50%) on apparel and accessories from major retailers.",1429638789,1453170910
hrego,1,"beelok cofounder. Programmer and IT specialist. Followed the advent of PC, the Web and recently mobile. Interested in startups, research and entrepreneurship.",1360541155,1450207814
hrehhf,74,,1414886157,1450207814
hreinhardt,1,,1382301790,1452917520
hremid,12,,1371938212,1452913976
hrescak,4,"performing random acts of design magic",1275396895,1452889309
hresult,19,,1337235226,1452906850
hreynphon,1,,1332390254,1452900955
hrez,57,,1367791840,1452276382
hrgoldstein,1,,1391007967,1452926291
hrgrl,5,,1311452821,1452895225
hrhMichael,2,,1370814440,1452913379
hrhmsorm,1,,1378425854,1452916122
hrickards,1,,1313696700,1452912657
hridayshah,1,,1314264617,1452896231
hrish2006,128,,1365963463,1450207814
hrishi,12,,1247306661,1452888284
hrishi123,1,,1355623578,1452908182
hrishiballal,1,,1354723373,1452907748
hrishikesh2410,-4,,1451053844,1453174780
hrishikeshio,0,,1359653631,1452909590
hrishiluck,1,,1287948952,1452890369
hrishimittal,30,"Hi, I'm Hrishi Mittal, founder of Pretty Graph, the simplest web-based graph making application. Sign up for a beta at http://prettygraph.com or drop me an email at hrishi@prettygraph.com.<p>Always happy to help out and make new friends.",1260402826,1452888647
hrishirc,5,,1381153093,1452917095
