ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
NFFBodybuilding,0,2,0.0,68,1,"Visit http://neverfearfailure.com/ for the latest in Bodybuilding, Fitness, and Nutrition!<p>Follow me on Google + Never Fear Failure\nInstagram @brandon.vitelli\nLike our page on facebook https://www.facebook.com/NeverFearFailureBodybuilding/?ref=bookmarks",1444237784,1452801995
NFNLabs,0,2,0.0,1,0,,1385722307,
NFicano,0,8,0.0,1,0,,1250640868,1451620387
NfnK2ECvNE,0,3,0.0,0,0,,1449096573,1453175303
nFFF,0,1,0.0,0,1,,1377378517,1452915749
nForce,0,1,0.0,0,6,,1390231697,1452920376
nf,0,1,0.0,0,1,,1219311106,1452886518
nfa_backward,,14,0.0,0,11,,1377142219,1450207814
nfailor,0,21,0.0,0,27,,1372189120,1452914114
nfarina,,1544,0.0,7,25,,1302199567,1450207814
nfarring,0,1,0.0,0,1,,1349069361,1452906371
nfassler,0,3,0.0,0,1,,1332516475,1452901400
nfbush,,1,0.0,0,2,"Show me",1412630423,1450207814
nfbwcfuf,0,1,0.0,1,0,,1318410374,1452897594
nfc,,14,0.0,1,14,"Thx to the hacker news community I&#x27;ve started to eat healthily, do meditation and learnt so much in general even if the quality of the comments is apparently going down ;)",1395360958,1451862738
nfcam,,7,0.0,0,3,,1314811448,1450207814
nfd,0,25,0.0,0,0,"I&#x27;m just this guy, y&#x27;know?<p>Formerly (and briefly) nfd9001; I promptly forgot my password and had forgotten to set an email. Good job, me!",1430635045,1453171462
nfeiglin,,8,0.0,11,2,,1387197550,1450207814
nfelger,0,5,0.0,0,2,,1237558276,1452892847
nfeltus612,0,1,0.0,1,0,,1366106317,1452911751
nferiuernjkf,0,5,0.0,0,2,,1360258628,1452909634
nferraz,0,84,0.0,2,8,"Software developer, master in business information systems, more than 10 years of experience with Linux and Free / Open Source Software. Main interest areas include perl, javascript and mobile.",1315653279,1452905063
nferrero,0,2,0.0,0,0,,1425490812,1453166833
nffmkggjm,0,1,0.0,1,0,,1314229793,1452896103
nfg,,517,4.38636,3,152,,1210351206,1446444715
nfiniteset,,1,0.0,1,0,,1320700755,1450207814
nfioravanti,0,1,0.0,0,0,,1434320891,1453170241
nfirvine,0,2,0.0,0,0,,1444168725,1453172869
nfkd,,2,0.0,0,4,,1375142176,1450207814
nfkesnflkesnf,0,2,0.0,0,1,,1404610180,1452926728
nflath,,1,0.0,0,4,"Software Engineer at OptumSoft\nnflath@optumsoft.com",1343869046,1450207814
nfljerseysnq,0,1,0.0,2,0,,1313634481,1452895978
nfljerseysrn,0,1,0.0,2,0,,1316354539,1452896759
nflknfk,0,25,0.0,0,0,,1450414984,1453174652
nflvlel,0,2,0.0,0,0,,1446377694,1453173451
nfm,,865,4.43182,31,224,"Co-founder of Paydirt Time Tracking & Invoicing (https://paydirtapp.com) and UsabilityHub (https://usabilityhub.com).<p>You can get in touch with me at nicholas@paydirtapp.com.",1300941066,1451093622
nfmangano,,54,0.0,8,14,,1361806154,1450207814
nfnaaron,0,1617,3.0,12,545,,1250042323,1452888235
nfnra385bt,0,1,0.0,2,0,,1312991411,1452896231
nfo,,2,0.0,1,1,,1285249088,1450207814
nfold,0,1,0.0,1,0,,1407112498,1452928552
nfomon,0,1,0.0,0,4,,1337961318,1452903164
nfonrose,0,1,0.0,1,1,"Founder of Teevity, a Cloud costs analytics solution.<p><pre><code>  - Monitor your cloud spendings (any cloud provider), \n  - Analyse where and how you spend on the Cloud\n  - Classify your spendings (dev/prod/test, custA/custB, ...)\n  - Manage the rain of monthly bills (fiscal year closing)\n</code></pre>\nhttp://cloudcost.teevity.com | @teevity | @nfonrose",1331797385,1452900782
nfoz,,1081,2.77273,3,495," - . - . - . - r e a c h - m e - a t - : - h a c k e r n e w s n f o z - a t - d o u b l e p l u m - . - n e t - . - . - . -",1366391146,1452040504
nfranchise,,1,0.0,0,2,,1352087186,1450207814
nfrankel,0,6,0.0,0,0,,1429727400,1453168390
nfreq,,1,0.0,1,1,,1414888997,1450207814
nfriedly,,1286,1.90909,81,441,"Hi I&#x27;m Nathan; I&#x27;m a husband, dad, minister, and software engineer.<p>I&#x27;m currently working on the Watson team at IBM - I mainly do JavaScript/web stuff, but I have a pretty wide range of interests and responsibilities.<p>Read a little about me at http://nfriedly.com/<p>See some of my work at http://github.com/nfriedly<p>Feel free to contact me about anything: nathan @ [username] .com",1188417718,1452873291
nfriedly2,0,1,0.0,0,3,,1341243876,1452904154
nfrly,0,1,0.0,0,0,,1438669064,1453171280
nfrmatk,0,1,0.0,0,0,,1415336762,1453168403
nfrmn,0,77,0.0,0,0,,1361368163,1453169560
nfroidure,0,1,0.0,0,0,"FullStack JavaScript developper.",1422959528,1453166786
nfsiddiqui,,4,0.0,1,1,,1367359248,1450207814
nfullerCarvana,0,2,0.0,0,0,,1451668760,1453174890
nfvs,,23,0.0,1,4,http://github.com/nfvs,1260476542,1450207814
nfw24,0,1,0.0,1,0,,1333474210,1452901515
nfwatson,0,6,0.0,0,2,,1241750382,1452887830
nfx,0,2,0.0,0,0,,1444449056,1453172954
nfydel38,0,1,0.0,13,0,,1332129890,1452901619
nfzufxjlidp,0,2,0.0,0,1,,1379084207,1452916378
