ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
ZkHaider,0,1,0.0,0,1,,1404340249,1452926652
Zklozenblarg,0,8,0.0,0,6,,1364889818,1452911535
Zklsalue8,0,-1,0.0,0,0,,1447434940,1453173849
zk,0,6,0.0,1,1,,1240338898,1452887772
zk00006,,51,0.0,0,61,,1311535969,1450207814
zk2,0,3,0.0,3,2,,1367337460,1452912189
zk37,0,1,0.0,0,0,,1422957488,1453166560
zkallen2010,0,1,0.0,0,0,,1441119967,1453171997
zkan,,10,0.0,5,6,,1311214426,1450207814
zkanda,,223,0.0,12,15,"[ my public key: https://keybase.io/zkanda; my proof: https://keybase.io/zkanda/sigs/wLPscZWChgwLh4wo0NXdp9U95OpMAPFfzpoR7s_1ucw ]",1379052084,1450207814
zkanter,,16,0.0,4,2,,1352411866,1450207814
zkaplan,0,33,0.0,5,2,,1273643389,1452889212
zkar,,4,0.0,2,18,,1237151773,1450207814
zkarcher,0,44,2.0,2,33,http://hackernewsers.com/users/zkarcher.html,1228717054,1452886843
zkenyon,0,2,0.0,0,2,,1377584056,1452915806
zkett,0,1,0.0,0,0,,1427903550,1453167698
zkfyy7en1o,0,5,0.0,0,0,,1449374052,1453174375
zkhalique,,393,0.0,30,275,"Co-Founder & COO at http://qbix.com\nWe&#x27;re building a simpler and more elegant social app platform that developers will love.",1284344641,1452561755
zkhr,0,1,0.0,0,1,,1261957021,1452888684
zkidd,,3,0.0,8,5,,1295368056,1450207814
zkim,,5,0.0,2,1,http://zacharykim.com,1294242980,1450207814
zkimball,0,1,0.0,1,0,@zacharykimball,1393542152,1452922468
zkinion,,101,1.86047,4,121,,1173903924,1414569808
zkirill,,133,1.72093,11,58,"iOS + Go. Transforming the food supply chain at Dineserve. (https://angel.co/dineserve)",1265963700,1450207814
zkj1112009,0,1,0.0,0,0,,1364440468,1453167359
zkmaster,0,2,0.0,0,3,,1277740372,1452889417
zkoch,,60,0.0,2,12,"zachkoch [at] gmail\nzachko.ch",1250533997,1450207814
zkoh,,1,0.0,0,1,,1359368290,1450207814
zksv,0,3,0.0,0,0,,1452634901,1453175176
zkwentz,0,3,0.0,1,1,,1266169992,1452889012
zkylab,0,1,0.0,1,1,,1264190693,1452888767
zkz,0,655,2.0,20,22,,1243564287,1452887944
