ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
GYf,0,1,0.0,0,7,,1280449957,
Gyanesh,0,1,0.0,1,0,,1343796023,
Gybra,0,2,0.0,1,1,,1341698150,1425322122
Gybra92,0,1,0.0,1,0,,1382173022,
Gyffindor,0,1,0.0,0,1,,1414979078,1414981401
Gygash,0,106,0.0,4,16,,1273131879,1447964197
GymUse,0,4,0.0,6,0,,1323674103,
GyoFar,0,1,0.0,0,2,,1401453567,1414521232
Gyongyi,0,1,0.0,0,1,,1388741427,
Gyonka,0,40,0.0,9,31,,1402765819,1438005853
Gyran,0,2,0.0,2,1,,1390547664,
GyrosOfWar,0,43,0.0,0,24,https://github.com/GyrosOfWar,1378141305,1447276751
Gys,0,362,0.0,30,239,,1382613105,1452595087
Gyy0,0,5,0.0,1,6,,1386234113,
gy3b,,8,0.0,4,5,,1396835208,1450207814
gy8884,0,12,0.0,2,0,,1317878800,1452897450
gy94,0,3,0.0,0,1,,1283554718,1452889908
gyaan,0,2,0.0,1,0,"My passion is my profession",1336282103,1452902796
gyakuzuki,0,6,0.0,1,2,,1412047316,1452932324
gyan_vihar,0,2,0.0,1,0,,1297770427,1452892402
gyandeyaar,0,2,0.0,0,0,,1436903740,1453170753
gyanendra,0,1,0.0,4,0,"Webmaster @ New Delhi India",1276852982,1452898664
gyanganesh,0,2,0.0,0,1,,1368947782,1452912621
gyanguru,0,3,0.0,0,3,,1286961386,1452890226
gyantra,0,1,0.0,5,1,,1314380130,1452896231
gyardley,,6158,3.15909,59,1483,"cofounded pinch media, acquired by flurry, acquired by yahoo.<p>personal e-mail: greg -at- yardley.ca",1235088593,1452718370
gyaresu,,99,2.96,9,34,"[ my public key: https://keybase.io/gyaresu; my proof: https://keybase.io/gyaresu/sigs/46HYWL7hX08vKJnfceAPb1pAmKr5xEtMsEVU1O7lixc ]",1322226934,1450207814
gyavello,0,1,0.0,0,1,,1331994703,1452900782
gyazbek,0,3,0.0,0,2,,1350395085,1452907680
gybadodi,0,1,0.0,1,0,,1323161013,1452898756
gybter,0,2,0.0,1,1,,1302489687,1452893290
gyc,,97,0.0,0,39,,1367612099,1452569039
gydoo,0,1,0.0,0,1,,1297967531,1452892403
gyeh,0,228,2.0,7,24,"{gmail} ::: ebfocu",1230141691,1452886955
gyehuda,,2,0.0,0,4,,1291841093,1450207814
gyeonggi,0,1,0.0,0,0,,1436368563,1453172484
gyepi,0,220,1.84090909090909,3,135,self-hn-contact@gyepi.com<p>http://gyepi.com/pubkey.asc<p>https://github.com/gyepisam,1273876573,1452889839
gyges1,0,1,0.0,0,1,,1312222660,1452895525
gygrasyid,0,1,0.0,1,0,,1369957247,1452913045
gygygy,,123,0.0,22,19,,1380477657,1450207814
gyhbv,0,1,0.0,0,1,,1402206799,1452925132
gyim,,7,0.0,0,5,,1345478002,1450207814
gyldanahert,0,1,0.0,1,0,,1328071220,1452899743
gylee,0,1,0.0,0,1,,1349832320,1452914557
gylgamesh,0,1,0.0,0,1,,1307389835,1452894165
gylippus,,3,0.0,4,0,,1335454908,1450207814
gyllen,,173,0.0,25,4,,1399655068,1450207814
gyllenhaal,0,1,0.0,0,0,,1443550458,1453172675
gymfloorcovers,0,1,0.0,1,0,,1319205292,1452898619
gyminsight,0,0,0.0,2,1,"I am an independent fitness center owner with a small software company wholly focused on software for the gym industry.  As a small business owner I have dealt with trials and tribulations of owning my own gym. I would like to share my insight as to the secrets, procedures, and programs that have made my gym a success and my life easier.  One program that I have just released to the public is Insight.   Insight can be used alone or integrated with a billing software service called XEFinancial.  Insight is a gym management system specifically designed to take the headache out of the day to day financial management of fitness centers through comprehensive dashboards and key metrics that provide the ability to track sales, monthly dues, personal training sales and commissions, payroll, and more!",1352687997,1452907279
gymnati,0,1,0.0,1,0,,1350970736,1452906901
gymrocker,0,1,0.0,2,0,,1324576452,1452899110
gyom,,263,2.09091,0,144,,1244029293,1450207814
gyoridavid,,4,0.0,11,1,,1402896607,1451314355
gyoshev,,1,0.0,0,2,,1315892855,1450207814
gyosko,,166,0.0,6,8,,1374678556,1450207814
gyoza,,13,0.0,0,10,,1407791106,1452296537
gyozaking,,18,0.0,0,7,,1333564509,1450207814
gypsobelum,0,17,0.0,0,3,,1370359484,1452913293
gypsy_boots,0,29,0.0,0,0,,1435871158,1453172112
gypsy_dave,0,1,0.0,0,4,,1386703385,1452919341
gypsy_heretic,0,2,0.0,0,0,,1443573602,1453172687
gypsydave5,0,2,0.0,0,0,,1418330075,1453170847
gypsyface,0,0,0.0,0,1,,1341313370,1452904154
gypsyharlot,,1,0.0,0,3,,1397237124,1450207814
gyrccc,,7,0.0,1,2,,1358025573,1450207814
gyre007,,382,0.0,31,13,"Ops and Dev<p>http://containerops.org/<p>[ my public key: https://keybase.io/milosgajdos; my proof: https://keybase.io/milosgajdos/sigs/I-KU1eDd7uGcQPucTcQaNM5ICPn7CwLqEqIpu4mjDmY ]",1351188126,1451851212
gyred,0,2,0.0,0,1,,1239973843,1452887944
gyro_robo,0,237,0.0,7,288,,1175479728,1175479728
gyros23,0,2,0.0,0,3,"i love my life!",1340088015,1452903557
gyrospike,0,1,0.0,0,0,"Mobile developer promoting Game You Don&#x27;t Play:\nhttps://play.google.com/store/apps/details?id=net.josephharding.petgame.android",1402408038,1453169498
gyspox,0,1,0.0,19,0,,1332066666,1452900855
gytdev,,3,0.0,0,1,,1373531441,1450207814
gyufa,,9,0.0,1,1,,1378293000,1450207814
gyufgyfigyugy,0,1,0.0,0,1,,1391318228,1452920937
gyuhankim,0,1,0.0,1,0,,1412187049,1452932439
gyuhjihvgj,0,-1,0.0,0,0,,1443532089,1453172675
gyunt,0,1,0.0,0,0,,1451162322,1453174791
gyurisc,,2,0.0,2,3,"Geek living in Hungary, Budapest.",1340871632,1450207814
gyuriy,0,1,0.0,0,0,,1431597638,1453169126
gyutra,0,1,0.0,0,1,,1394075358,1452922098
gyvastis,,7,0.0,15,0,,1398063585,1451911706
gywst,0,1,0.0,1,0,,1296461594,1452892174
gyx32zo89,0,1,0.0,7,0,,1331862641,1452901228
gyzar,,2,0.0,1,2,,1369076384,1450207814
