ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
8343999,comment,8342755,8343668,2,0,jacquesm,,,"I wished I would be half that excited about it at my present age!",1411199930
8343998,comment,8320968,8324505,1,0,kazagistar,,,"It caught on a little.",1411199923
8343997,comment,8341799,8343586,4,0,joshfraser,,,"The World Health Organization recently halved their recommended sugar intake for adults, from the original 10 percent of total daily calories to 5 percent. For a normal weight adult, that&#x27;s about 25 grams.  A can of coke in the US contains 40g of sugar.  Our food labels show daily recommended amounts for everything except sugar.  Why?  Because putting 160% on the can would be bad for Coca Cola.  Too often the USDA protects and defends big business instead of the people.  Note the amount of money spent on lobbyists and the revolving door that exists between the USDA and lobbying firms: <a href=""https://www.opensecrets.org/revolving/search_result.php?agency=Dept+of+Agriculture&id=EAAGR"" rel=""nofollow"">https://www.opensecrets.org/revolving/search_result.php?agen...</a>",1411199888
8343996,comment,8341798,8342787,1,0,klibertp,,,"I&#x27;d guess it&#x27;s CS compiler doing, but I didn&#x27;t check.",1411199872
8343995,story,,,7,0,AndriusWSR,"Girl faked 5-week trip to Asia on social media",http://singaporeseen.stomp.com.sg/singaporeseen/this-urban-jungle/dutch-student-fakes-entire-5-week-vacation-in-asia-with-just-photoshop,,1411199849
8343994,comment,8342755,8343953,3,0,adamnemecek,,,"Wait C++ is has been getting more popular? I&#x27;m not complaining (I mostly like C++), I guess I just didn&#x27;t get the memo.",1411199829
8343993,comment,8343487,8343909,1,0,billyboar,,,"I&#x27;m from Mongolia, which is pretty small country, so the embassy won&#x27;t be giving visas so easily and I would need some paperwork. How does YC deal with this kind of issue???",1411199772
8343992,comment,8342959,8343762,1,0,jwr,,,"On every visit to the US (I&#x27;m from Europe), I find it amazing how much water gets wasted. Monster-flush toilets, vertical-axis washing machines, and the most egregious offender: hotel shower. The first time I saw those, it took a while before I realized you just can&#x27;t limit the flow of water, by design.",1411199769
8343990,comment,8341017,8343942,1,0,jacquesm,,,"Delivery has failed to these recipients or groups:<p>info@superset.eu\nThe email address you entered couldn&#x27;t be found or is invalid.",1411199727
8343989,comment,8342959,8343762,2,0,Someone,,,"<i>&quot;Changes to individual use will only have a small impact on our water use&quot;</i><p>Every single farmer can argue the same way (&quot;I only use a tiny fraction of what the state as a whole uses, so it won&#x27;t help&quot; or &quot;almond farming only uses 10% (I&#x27;m making up this number), so it won&#x27;t help if we, almond farmers, economize on water use&quot;)<p>Everybody can find a group they are in that will have a small impact.",1411199717
