ID,Karma,About,Created,Updated
K01OBAABINIBI,1,,1349721254,
K0KE,1,,1327452210,
K0nrad,1,,1391106573,
K0nserv,72,http://hugotunius.se,1372411735,1452590980
K0t4,2,,1359070239,
k0,12,"Tech Founder, Developer, Entrepreneur, Consultant, and Drummer.  I would love to join forces with someone that needs some technical help/CTO.  Solving hard problems is my specialty.  IoT + Telecom is my focus.",1385066535,1450207814
k00k,87,http://hackernewsers.com/users/k00k.html,1298914600,1452892569
k00kykelly,11,,1284094216,1452889947
k00pa,65,,1324045080,1450207814
k02_21,1,,1325848275,1452899389
k0an,2,,1443641424,1453173183
k0ban,34,,1217933485,1450207814
k0d3g3ar,1,,1407194841,1452928613
k0dog,1,,1410233005,1452930684
k0doque,91,,1413728406,1450396101
k0eselitz,2,,1273723734,1452889212
k0ga,3,,1426657190,1453167302
k0htlane,4,,1444157971,1453172856
k0ifim,1,,1353333712,1452907445
k0k0k0k0,1,,1242671363,1452887871
k0kubun,1,,1417708037,1453167621
k0m155ar,1,,1433997645,1453169836
k0mplex,293,"Founder and investor.",1206363367,1441324013
k0myer01,1,,1315315129,1452896423
k0n2acl,2,,1235749016,1452887236
k0n2ad,191,"i like thinking about code, consciousness and the universe",1236177969,1450207814
k0nad,1,,1295136689,1452892097
k0nartist,46,,1421726433,1453171859
k0ngo,18,,1389371248,1450207814
k0nsl,-9,"[ my public key: https://keybase.io/k0nsl; my proof: https://keybase.io/k0nsl/sigs/gwuWNBQIzoxDDDvSFJFfxFqL8hEMafRHQDHFljfDIK0 ]",1354692616,1451645045
k0t0n0,13,,1357297310,1452910366
k0z,-6,,1279001333,1452889588
