ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
M-L,0,2,0.0,0,1,,1362011267,
M-MZ,0,1,0.0,0,1,,1209963818,
M-S-B,0,4,0.0,8,3,"Founder of Mailcloud.com, previously founded Zaggora.com. We bootstrapped to 80 people, $40l in sales without investors or debt. It was frightening. Here to learn and share.",1417878439,1422459046
m-a-u-r-i-c-e-,0,1,0.0,1,0,,1409647117,1452930380
m-and-a-hopeful,0,1,0.0,1,0,,1305736305,1452893808
m-app,,119,0.0,4,40,"[ my public key: https://keybase.io/michielappelman; my proof: https://keybase.io/michielappelman/sigs/UP28rm61jbnxRWOAaOBOgXMHJvkjtUTPznM9JlOg3EE ]",1349878687,1450207814
m-arnold,0,1,0.0,0,1,,1390149572,1452921460
m-felleisen,,28,0.0,0,2,,1375546526,1450207814
m-i,0,6,0.0,0,11,,1347657561,1452906073
m-i-l,,630,0.0,32,110,,1406732963,1452909852
m-ic3,,1,0.0,1,1,,1335951337,1450207814
m-j-fox,,6,0.0,0,2,,1398089389,1450207814
m-k-s,0,3,0.0,0,1,,1315801955,1452896531
m-ou-se,0,2,0.0,0,0,,1424292903,1453166312
m-photonic,,371,3.04545,2,100,,1274945908,1451856616
m-r-a-m,0,41,0.0,1,21,,1371074559,1452913761
m-r-r,,4,0.0,1,7,"[ my public key: https://keybase.io/mrr; my proof: https://keybase.io/mrr/sigs/U_rIOqf6aVs9rahfd_gYKeAz_VGlxNzjGJmhDOjTsXs ]",1359386571,1450207814
m-ramige,0,6,0.0,0,2,,1370442852,1452913338
m-x-m,0,1,0.0,0,1,,1336800001,1452902911
m-zuber,0,2,0.0,0,0,,1430061394,1453168487
