ID,Karma,About,Created,Updated
FCAlex,1,"CEO at Funding Community",1370227113,
Fcxce,0,,1290544653,
fc,1,,1212165721,1452886269
fc2,64,,1351083570,1452909696
fc3sport,2,,1355860514,1452908274
fcaf,1,,1366149124,1450207814
fcain,1,,1310430821,1452895004
fcambus,7141,"Site : http://www.cambus.net<p>Twitter : @fcambus<p>Also check Echo JS, a community-driven news site dedicated to JavaScript and related topics : http://www.echojs.com",1307642217,1452791745
fcanas,26,,1347206955,1450207814
fcanela,35,"Contact me using email: hi at domain fcanela.com.<p>I&#x27;m friendly.",1376578971,1452112892
fcantu,1,,1267978876,1452888928
fcarbogn,2,,1426354829,1453167187
fcardinaux,1,,1195353548,1441321031
fcassia,1,,1332541266,1452900983
fcat,4,,1383209767,1452917846
fcatalan,226,,1300660990,1450207814
fcathala,1,,1338222853,1452903240
fcbrooklyn,69,,1349191328,1450207814
fcbsd,5,"*BSD user and SysAdmin :~)",1382048516,1450207814
fcc,3,,1352592022,1452907235
fcc3,1,,1381138742,1452917095
fcclaw,2,,1419468439,1450267840
fceccon,66,"CS student at UniFe, Ferrara, Italy.<p>Email: francesco at ceccon.me\nhttp://francesco-cek.com/\nhttps://twitter.com/fra_cek",1309078680,1450207814
fceller,64,,1416510503,1450207814
fcerong,1,,1244923853,1452887978
fceruti,2,,1322739402,1450207814
fcesarini,11,,1227221973,1452886722
fcfowler,2,"lead developer at http://yellowdoes.com",1390452442,1450207814
fcghjk,1,,1259791223,1452888609
fcgreenpower,1,,1303162116,1452893372
fch,6,,1434615639,1453170029
fchan,2,,1237631890,1452887350
fcharchtn,2,,1438136909,1453171118
fcharlie125,1,,1382409670,1452917578
fchay,1,,1434526683,1453169993
fche,153,,1378473263,1452805114
fchief,11,,1361547570,1450207814
fchmmr,1,,1422571771,1453167056
fchollet,3509,,1304207257,1451944363
fciraci,2,,1411741305,1450207814
fcjqbuvjxpxml,7,,1230573326,1452886955
fckin,-14,,1328340687,1452899829
fckinfoodies1,1,,1329901428,1452900163
fckthensa,1,,1371308446,1452913702
fckthensa2,1,,1379285091,1452916440
fckyrpywll,-2,,1368984396,1452912621
fclaerho,1,,1421686540,1453165380
fclaude,2,,1307075160,1452894106
fcmartins,1,,1282216080,1452889775
fcmatteo,17,,1435924243,1453170460
fcmeneg,0,,1366323608,1452913045
fcmk,11,,1319327703,1450207814
fcn_fan,5,,1314811445,1452898149
fcnfhdh,-2,,1286455612,1452890124
fcobcn,2,,1405669069,1453170214
fcodebs,22,,1244125581,1452887944
fcofdezc,1,,1394065452,1450207814
fcofrancisco,1,,1332955984,1452901187
fcolaco,1,,1306671085,1452893954
fcorella,21,,1397233762,1450207814
fcorr,12,,1364758115,1452911496
fcosrno,1,,1407346862,1450361408
fcoury,442,,1212896782,1452621278
fcox,0,,1245599016,1452887978
fcp,9,,1396379209,1450207814
fcq731,7,,1330686329,1452901281
fcr,16,,1245675678,1452887978
fcremo,9,,1420909319,1453174022
fcriminalla,1,,1330499011,1452900347
fcsss,3,,1362848825,1452910679
fctales,2,,1447284977,1453173757
fcu_1,10,,1247794245,1452888474
fcuk,2,,1425203254,1453166722
fcukdigg,278,,1354204182,1452907626
fcukhn,-3,,1429827211,1453168425
fcuozzo,5,"[ my public key: https://keybase.io/fcuozzo; my proof: https://keybase.io/fcuozzo/sigs/v2M_eqsYm3QSYXbipnrMSO6rtrPKU7v79aWxaE3qEvA ]",1349824191,1450207814
fcurella,165,,1263293225,1450207814
fcuzed,1,,1316663100,1452896871
fcvghjmk,15,,1262151494,1452888684
fczuardi,3,"Fabricio C Zuardi<p>Web geek, free software and free culture enthusiast.<p>Current working on: http://alpha.publicvideos.org<p>Personal home page: http://fabricio.org",1266786712,1450207814
