ID,Delay,Karma,Average,Stories,Comments,About,Created,Updated
BT101,0,1,0.0,1,0,,1380587217,
BTBurke,0,32,0.0,3,21,"http://www.linkedin.com/in/bryanburke1\nhttp://hackernewsers.com/users/BTBurke.html",1283870932,1447140678
BTCAgency,0,1,0.0,1,0,,1434966118,1434966183
BTCThrowAway,0,8,0.0,1,0,,1344924639,
BTC_BruceWillis,0,3,0.0,0,3,,1395348677,
BTC_Hamster,0,6,0.0,3,0,"I&#x27;m a Bitcoin fan....",1381593206,
BTC_sx,0,5,0.0,1,0,,1422377572,1422472729
BTCatFidorBank,0,2,0.0,0,2,"Fidor Bank, Munich\nwww.fidor.de",1384245642,
BTCenthusiast,0,1,0.0,1,3,,1385737190,
BTFD,0,7,0.0,3,0,,1364949859,
BTJoern,0,1,0.0,3,0,,1423578899,1426097343
BTMetrics,0,2,0.0,0,0,,1425407920,1453166786
BTR,0,1,0.0,1,0,,1332949608,
BTRevak,0,1,0.0,0,1,,1386824255,
BThompson,0,1,0.0,0,1,,1367982947,
BTrapunzel,0,37,0.0,2,0,,1424438846,1424719033
BTurkE,0,6,0.0,0,5,,1384041809,1448694465
BtLutz,0,5,0.0,0,1,,1408446126,1422564955
BtM909,0,17,0.0,2,37,,1353700344,1452374098
BtiNodeZ,0,1,0.0,0,2,,1438753089,1438800870
bTreated,0,2,0.0,0,1,,1293152264,1452891944
bt,0,2,0.0,1,0,,1172212752,1172212752
bt3,0,17,0.0,0,0,"Founder http://tryCarbon.co<p>http://bentumbleson.com",1423680921,1453166028
bt41,0,32,0.0,0,0,,1410974140,1453171167
bt90,0,1,0.0,0,1,,1383795050,1452918235
bt9sy5st,0,1,0.0,1,0,,1314869135,1452896359
btables,,11,0.0,2,1,,1401762133,1450207814
btaher20,0,1,0.0,1,0,,1354870508,1452907820
btaitelb,,42,0.0,4,18,"Founded Coshx Labs, where I get to work on innovative ideas with an amazing team.",1317156115,1450207814
btakita,0,30,0.0,0,0,,1247728350,1452888115
btam,,49,0.0,0,17,"email address is [hn username] dot scm at gmail.com",1297115131,1450207814
btamas,0,1,0.0,1,0,,1367234067,1452912002
btamilio,0,2,0.0,0,1,,1369771124,1452912967
btasdoven,0,3,0.0,0,0,,1447845122,1453174000
btashton,,8,0.0,1,3,,1394745017,1450207814
btatvic,0,2,0.0,0,0,"Inbound Marketer at Tatvic",1404904856,1453165366
btaylorweb,0,1,0.0,0,5,,1361560092,1452910104
btb,,38,0.0,0,34,,1319732149,1450207814
btb7340,0,1,0.0,2,0,,1332458944,1452900955
btbuildem,,597,1.97727,1,312,,1358464938,1452010189
btbuilder,,132,2.31818,4,88,,1328258844,1451605632
btbytes,,25,0.0,1,10,,1187282768,1442129942
btc,0,1,0.0,0,1,"Need a fast, realiable, and confidential transcription service at an industry leading price? Check out www.bostontranscriptioncenter.com",1237352163,1452887288
btc_coller,0,1,0.0,0,0,,1424095652,1453166199
btc_man,0,54,0.0,6,4,"Ruby Coder",1307706416,1452895077
btc_mane,0,1,0.0,0,2,,1316485154,1452899533
btcbookmarks,0,2,0.0,0,0,,1425743224,1453166942
btcde,,15,0.0,3,3,,1381697058,1450207814
btcdlc,0,1,0.0,0,0,"Trade your digital goods for BTC<p>Free as in beer: no fees, no commission<p>https://btcdlc.com/",1384617310,1452929089
btcfn,0,10,0.0,0,4,,1393594208,1452921997
btcgigs,0,1,0.0,1,0,,1393913272,1452922069
btcguy,0,1,0.0,0,1,,1384877712,1452918827
btchernev,0,1,0.0,1,0,,1347569358,1452912053
btcisthefuture,0,1,0.0,1,0,,1388701365,1452919851
btcjedi,0,1,0.0,0,0,,1439311870,1453171721
btcjobseeker,0,3,0.0,0,0,,1420477646,1453164990
btclove,0,3,0.0,1,2,,1309974060,1452894811
btclyb06,0,1,0.0,2,0,,1332318975,1452900955
btcmainstream,0,1,0.0,0,0,,1438300822,1453171178
btcmb_pt,0,1,0.0,1,0,,1379877512,1452916768
btcmerchant,0,1,0.0,1,0,,1385508921,1452919088
btcoal,0,191,3.0,35,51,"I am a constant soldier, a sometimes poet and I will be king.<p>Also, I like statistics and python.",1297579740,1452892466
btcstanford,0,1,0.0,0,1,,1390850019,1452920652
btcthinker,0,2,0.0,0,1,,1363728551,1452911035
btcthrowaway2,0,7,0.0,0,0,,1421225229,1453165240
btctsj3,0,1,0.0,9,0,,1312516040,1452895595
btcus,0,3,0.0,0,1,"My name is Tim, and I, along with a suave Czech named Michal, run BitcoinShop.US, an attempt to host vast amounts of inventory for sale with Bitcoin.<p>Please, if you have any comments or suggestions, let me know! tim(at)bitcoinshop(dot)us",1385237373,1452918986
btcwares,0,4,0.0,3,0,,1314280020,1452896231
btczeus,,-11,0.0,0,14,,1406294748,1450207814
btd,,22,0.0,8,16,,1377189019,1450212136
btdd,0,-19,0.0,0,1,,1343943279,1452905024
btdiehr,0,36,0.0,0,0,,1451424568,1453174934
btdigg,0,2,0.0,1,0,,1296640785,1452892217
btdollar,0,20,0.0,0,0,,1428730669,1453168050
btdxtrt,0,15,0.0,0,0,,1248706519,1452888183
btec,0,1,0.0,0,0,,1444263935,1453172892
btechr,0,2,0.0,1,1,,1313967253,1452896036
btechster3,0,1,0.0,2,1,,1287773037,1452890369
btehara,0,1,0.0,0,0,,1422326547,1453165595
bteitelb,,71,0.0,8,17,,1237270886,1450207814
btel,,3,0.0,0,2,,1380202969,1450207814
bterhorst,0,1,0.0,1,0,,1390941053,1452921656
bterlson,0,140,0.0,0,0,,1453228068,1453379877
btf,0,2,0.0,1,0,,1328108303,1452899743
btfh,,49,0.0,5,5,,1288256542,1450207814
btford,,24,0.0,1,8,"web dev\ntwitter: @briantford",1320251383,1450207814
btgeekboy,,387,2.18182,0,239,,1337232846,1452382749
bthatguy,0,1,0.0,0,2,,1344737621,1452905249
bthdonohue,,8,0.0,4,3,,1311341768,1450207814
bthecohen,,9,0.0,0,4,,1404145306,1450207814
bthekid86,,1,0.0,0,1,,1416333779,1450207814
btheroux,0,-2,0.0,0,1,,1311927540,1452895451
bthinker,0,1,0.0,0,1,,1270250570,1452912188
bthn,,3,0.0,5,3,,1396677208,1452342609
bthomas,,305,2.31818,3,118,"Genomics research and other coding endeavors. Based in SF, with frequent trips East.<p>brettpthomas.com // twitter.com/BrettThomas // brettpthomas@gmail<p>Feel free to email about anything",1321282453,1450207814
bthorben,0,8,0.0,0,6,,1399576813,1452924244
bthornbury,,114,1.65217,5,52,"Engineer - .NET Framework<p>github.com/dotnet/cli",1381907172,1451466190
bthornic,0,1,0.0,2,0,,1393004863,1452921761
bthornicroft,0,2,0.0,2,0,,1369493108,1452912909
bthreatt,0,1,0.0,0,2,,1276708980,1452889344
bthrn,,40,0.0,0,8,,1401727442,1450207814
bti,0,148,2.0,1,70,,1337260638,1452905119
btian,,855,3.04545,24,245,,1300889959,1450207814
btides,0,1,0.0,1,0,,1306588731,1452893954
btiede,0,15,0.0,0,0,"I am an artist and entrepreneur currently based in Hong Kong.  I paint and create hand-carved woodblock prints.  I speak 4 languages having grown up in Japan and spent 6 years in Hong Kong.  I just recently finished my MBA at HKUST.",1426995225,1453173533
btiffin,0,1,0.0,0,2,,1310457931,1452895004
btig,0,4,0.0,1,4,,1291970156,1452891944
btilford,0,3,0.0,0,1,,1243269220,1452887906
btilly,,29562,3.63636,207,5846,"My name is Ben Tilly. I've participated in a number of programming communities over the years.  Usually under the names Ben Tilly, tilly, btilly, or rarely benjtilly..<p>My main programming language is Perl, but I have learned a number of others to varying degrees of competence.  These days I do a lot with A/B testing, reporting, and fun math stuff.  That hasn't been planned, but I'm just shy of a PhD in math so it has proven to be a fit for me.<p>You can email me at btilly@gmail.com.",1250848310,1452877024
btimil,,547,0.0,61,1,,1381720294,1450207814
btincq,0,1,0.0,0,1,,1345502516,1452905646
btipling,,3017,3.45455,53,710,"1st employee at Floobits (YC 2013)<p>Software engineer at Leftronic (YC 2010)<p>6th employee at Cloudkick (YC 2009)<p>Bloglines/Ask.com 2007-2010",1208390305,1425118916
btk,0,2,0.0,0,0,,1247560145,1452888115
btkostner,,1,0.0,0,1,,1342773556,1450207814
btkramer9,0,1,0.0,0,0,,1383101781,1453173423
btkutz,0,2,0.0,0,1,,1253110033,1452888344
btl,0,8,0.0,0,1,,1277003100,1452889377
btlachance,0,2,0.0,0,1,,1335564799,1452902486
btmerr,0,30,0.0,0,0,"Co-founder and CEO of SEED - YC W15 - https://seed.co<p>Formerly: Jelly, Simple, Topsy, Gap, Brown University, Boston College, Sony, Taos, Genuity, GetNet.",1409015687,1453166267
btmiller,0,33,0.0,0,0,,1426709193,1453167325
btmills,,581,0.0,8,5,,1364364667,1450207814
btmorex,,2055,5.11364,6,234,,1268886670,1450207814
btmspox,,4,0.0,0,8,http://loftninjas.org,1233189714,1450207814
btn,,842,4.43182,0,172,,1251618089,1452797491
btnpushnmunky,0,33,0.0,5,11,,1284051127,1452889947
btoconnor,,13,0.0,0,9,"software engineer",1292945369,1450207814
btofis,0,1,0.0,1,0,,1314279464,1452896231
btokpushbutton,0,1,0.0,2,0,,1356095703,1452908645
btom,0,1,0.0,0,1,,1370928317,1452913533
btomar,,5,0.0,3,1,"Web Developer with constant self-refactoring to improve my skills.",1352229916,1450207814
btomasette,0,2,0.0,2,0,,1264391185,1452888852
btomorrow,0,1,0.0,0,2,,1319948664,1452901435
btone,0,1,0.0,0,1,,1410358298,1452930832
btopham,0,1,0.0,0,1,,1332511104,1452902546
btoptical,,108,0.0,2,27,,1392275576,1450207814
btouellette,,22,0.0,0,12,"[ my public key: https://keybase.io/btouellette; my proof: https://keybase.io/btouellette/sigs/0L_hvqmq-O1D-OUHeCBALXmBNJHIyqwWtXld6XWcvBE ]",1406217632,1450207814
btown,,1577,2.31818,10,490,"Email: btown.hn@gmail.com<p>Happy to discuss anything you&#x27;d like and share my identity in private, but I&#x27;d prefer to keep my identity publicly separate from my HN account so that I can express opinions more freely :)",1330128932,1452897454
btparker,0,1,0.0,0,0,,1380038708,1453171546
btpham,,2,0.0,1,0,www.linkedin.com/in/bryantripham,1332786161,1450207814
btr15,0,2,0.0,0,1,,1362770751,1452918877
btr41n,,28,0.0,20,9,,1323800328,1450207814
btrain,0,7,0.0,4,0,,1310138349,1452894913
btrash,0,4,0.0,4,0,,1331168222,1452900506
btrask,,322,0.0,11,84,"https://bentrask.com - https://github.com/btrask",1295491380,1452559390
btraut,0,1,0.0,0,2,,1310856066,1452895124
btrautsc,,335,2.43182,39,150,"Ambition, www.ambition.com<p>brian at above.",1318719017,1450207814
btrautsc21,0,3,0.0,0,1,,1318725941,1452897671
btrav,0,22,0.0,1,0,,1292483541,1452891888
btraveller,0,1,0.0,1,0,,1372122477,1452913976
btravis,0,5,0.0,0,0,,1416331185,1453165294
btravitz,0,-2,0.0,0,1,,1313680153,1452895978
btreecat,,66,0.0,0,50,"[ my public key: https://keybase.io/btreecat; my proof: https://keybase.io/btreecat/sigs/QMUY3OBTVUR7brApD2esJdMGVkoU1sAtH8NwNAo-WHQ ]",1402932909,1450448316
btreesOfSpring,,14,0.0,0,7,,1393420253,1450207814
btreeworship,0,5,0.0,0,2,,1322052069,1452898518
btrex,0,1,0.0,0,0,,1439504061,1453171530
btribbensee,0,1,0.0,0,0,,1336741829,1452925250
btrollin,0,-1,0.0,0,1,,1339506214,1452903452
btrombley,,43,0.0,3,14,,1385933027,1450207814
btroo,0,1,0.0,0,0,,1415931236,1453169595
btruitt,0,2,0.0,0,1,,1385176619,1452918932
bts,,71,0.0,1,18,,1200515289,1450207814
btsabra,0,2,0.0,0,6,,1263274984,1452889715
btschaefer,0,2,0.0,0,1,,1334016075,1452905862
btsk1992,0,7,0.0,0,0,,1424882178,1453166609
btstrpthrowaway,0,11,0.0,1,6,,1290475183,1452891526
bttf,,77,1.07407,7,47,"http://adnan-chowdhury.com\nhttp://github.com/bttf",1358391550,1451338081
bttf123,0,3,0.0,0,1,,1386847473,1452919385
bttf3,0,1,0.0,0,1,,1395503054,1452922429
bttlerstar,0,1,0.0,1,0,,1383612913,1452918056
bttmly,0,2,0.0,0,0,,1418782281,1453167109
bttrHckrNm,0,4,0.0,2,5,,1372343986,1452914259
btu,0,1,0.0,2,3,,1409772218,1452930380
btubbs,0,9,0.0,1,7,,1299123491,1452892569
btube,0,4,0.0,0,1,,1412396401,1452932598
btucker,,869,6.0,14,192,"I&#x27;m a Developer & Partner at Green River (greenriver.com) where we build sustainability analytics software.<p>http://twitter.com/btucker",1189278378,1451785585
btully,0,1,0.0,0,1,,1349598480,1452906532
bturn021,0,3,0.0,0,0,"I study the placebo effect and its impact on consumer behavior.<p>I also research emotional intelligence and sales performance.",1433876268,1453169801
bturner,,1,0.0,0,2,,1297179680,1450207814
btver,0,1,0.0,1,0,,1332971317,1452902486
btvwtvyy,0,1,0.0,0,1,,1292189332,1452891887
btw0,,628,2.23077,27,123,"http://madk.org\nwu (at) madk.org<p>living in Beijing",1190703663,1452608024
btwael,,2,0.0,3,0,,1408396953,1450207814
btware,0,2,0.0,0,0,,1442115975,1453172308
btwelch,0,17,0.0,1,10,,1239141033,1452887424
btwotch,,5,0.0,6,0,"http://btwotch.wordpress.com\nhttp://twitter.com/btwotch",1363124008,1450207814
btwrto,0,2,0.0,0,2,,1332602449,1452900983
btym,0,32,0.0,0,0,,1447697619,1453173972
btyrad,,22,0.0,0,13,,1286406634,1450207814
btyxjcfo602,0,1,0.0,6,0,,1352177794,1452907177
btzll,0,235,0.0,0,0,,1423655101,1453166064
