ID,Karma,About,Created,Updated
Vvector,74,,1302813762,1450207814
Vvick727,137,"Forging the technology culture in NYC among the next generation of hackers, innovators, and designers.",1293546623,1450207814
vv,224,www.galant.org,1216924299,1450207814
vv1956,1,,1309931929,1452894717
vv311,1,,1399937753,1452924323
vv73,1,,1406853188,1452928335
vvSaKvv,11,,1410557065,1450207814
vvVOR,2,,1317048165,1452897090
vvafelka,1,,1389342967,1452920340
vvakar,1,,1385046982,1450207814
vvanders,1377,,1426790440,1453167348
vvassiliouk,1,"Core storage engineer @ twitter",1348161303,1452908012
vvasudeo90,1,,1379826230,1452916672
vvatikiotis,5,,1365422807,1452911622
vvatsa,35,"You know, Stuff and Junk",1253801874,1450207814
vvayne,1,,1415235156,1453171642
vvcatz,1,,1430852702,1453168848
vvcephei,7,,1327517275,1452899681
vvdcect,1,,1416717102,1453169038
vvde,1,,1391709912,1452921185
vvelagapudi,1,,1342666219,1452908012
vveleva,1,,1265333503,1450207814
vvellaia,6,,1337774585,1452903112
vventure,2,,1450389991,1453174640
vvertex,-1,,1321524004,1452898448
vvesge,1,,1395655029,1452922429
vvghh,-2,,1363022080,1452910766
vvh,17,"Working for Testdroid that enables thousands of mobile app/game developers to develop and test their apps on real Android and iOS devices. Reach me here: fi.linkedin.com/pub/ville-veikko-helppi/2/a7/858/",1411365956,1450207814
vvhn,262,,1342651118,1450207814
vvijay03,236,cs.wisc.edu/~vijayc,1377562771,1450207814
vvillem,1,,1423650048,1453166016
vvillena,5,,1406554192,1453169317
vvilp,4,,1428969348,1453169624
vvimal,1,,1409699370,1452930380
vvinoth_watchy,1,,1372671796,1452914357
vvinrob,22,,1363158538,1452910766
vvjia,-4,,1383535851,1452917933
vvjtg9179,1,,1312916078,1452903333
vvknvc48,1,,1311298673,1452895170
vvladymyrov,5,,1357249748,1453167146
vvllddrr,5,,1364549225,1452911496
vvlnp3661,1,,1312913843,1452900955
vvnraman,294,,1290118722,1450207814
vvnrboston,1,,1366804468,1452911915
vvogrim,3,,1372916636,1452914460
vvohra87,1,,1367663384,1452915440
vvoltt,1,,1441422114,1453172112
vvortex3,2,,1352921945,1452907339
vvoyer,191,"JavaScript developer, testing freak, deployment beast.",1384211690,1451912498
vvpan,747,,1288101892,1452504091
vvpvijay,2,"[ my public key: https://keybase.io/vijayprabhu; my proof: https://keybase.io/vijayprabhu/sigs/l3H3lN1T9X5t8Q3GupzZ47OYL29dTT5Exwa98YPPqU0 ]",1405869388,1450207814
vvqgo8464,1,,1312915043,1452902370
vvr,1,,1264873384,1452888810
vvsanil,475,,1369028715,1450207814
vvu_vdev,5,"[ my public key: https://keybase.io/vvu; my proof: https://keybase.io/vvu/sigs/x27lYuvspyORKWRYnJuARLA-fSE1H55YvkEtVmBFmHU ]",1414256437,1453172297
vvuksan,1,,1309148136,1452894473
vvv10123,1,,1344141261,1452905063
vvvVVVvvv,43,,1379682681,1452916851
vvviolet,141,,1379513888,1450207814
vvvit,1,,1321549437,1452898448
vvvmv7245,1,,1312910743,1452895755
vvvnnnnvvv,16,,1393899551,1450207814
vvvv,216,,1387887294,1450207814
vvvvv,1,,1316779050,1452896994
vvyakovleva,1,,1318297327,1452908012
vvyg4878c,1,,1335419416,1452902431
vvz,4,,1287781235,1452890369
